,Trend Direction,Start Date,End Date
0,No Trend,02 Jan 2015,05 Jan 2015
1,Bearish,05 Jan 2015,06 Feb 2015
2,Bullish,06 Feb 2015,12 Mar 2015
3,Bearish,12 Mar 2015,18 Mar 2015
4,Bullish,18 Mar 2015,27 Mar 2015
5,Bearish,27 Mar 2015,09 Apr 2015
6,Bullish,09 Apr 2015,08 Jun 2015
7,Bearish,08 Jun 2015,22 Jun 2015
8,Bullish,22 Jun 2015,29 Jun 2015
9,Bearish,29 Jun 2015,16 Jul 2015
10,Bullish,16 Jul 2015,27 Jul 2015
11,Bearish,27 Jul 2015,29 Jul 2015
12,Bullish,29 Jul 2015,06 Aug 2015
13,Bearish,06 Aug 2015,09 Oct 2015
14,Bullish,09 Oct 2015,11 Dec 2015
15,Bearish,11 Dec 2015,26 Feb 2016
16,Bullish,26 Feb 2016,18 May 2016
17,Bearish,18 May 2016,25 May 2016
18,Bullish,25 May 2016,24 Jun 2016
19,Bearish,24 Jun 2016,05 Jul 2016
20,Bullish,05 Jul 2016,12 Sep 2016
21,Bearish,12 Sep 2016,11 Nov 2016
22,Bullish,11 Nov 2016,13 Apr 2017
23,Bearish,13 Apr 2017,24 Apr 2017
24,Bullish,24 Apr 2017,18 Aug 2017
25,Bearish,18 Aug 2017,01 Sep 2017
26,Bullish,01 Sep 2017,07 Feb 2018
27,Bearish,07 Feb 2018,27 Feb 2018
28,Bullish,27 Feb 2018,28 Feb 2018
29,Bearish,28 Feb 2018,09 Mar 2018
30,Bullish,09 Mar 2018,22 Mar 2018
31,Bearish,22 Mar 2018,09 May 2018
32,Bullish,09 May 2018,28 Jun 2018
33,Bearish,28 Jun 2018,09 Jul 2018
34,Bullish,09 Jul 2018,10 Oct 2018
35,Bearish,10 Oct 2018,17 Jan 2019
36,Bullish,17 Jan 2019,13 May 2019
37,Bearish,13 May 2019,12 Jun 2019
38,Bullish,12 Jun 2019,05 Aug 2019
39,Bearish,05 Aug 2019,05 Sep 2019
40,Bullish,05 Sep 2019,02 Oct 2019
41,Bearish,02 Oct 2019,15 Oct 2019
42,Bullish,15 Oct 2019,25 Feb 2020
43,Bearish,25 Feb 2020,16 Apr 2020
44,Bullish,16 Apr 2020,21 Sep 2020
45,Bearish,21 Sep 2020,07 Oct 2020
46,Bullish,07 Oct 2020,28 Oct 2020
47,Bearish,28 Oct 2020,05 Nov 2020
48,Bullish,05 Nov 2020,08 Mar 2021
49,Bearish,08 Mar 2021,09 Mar 2021
50,Bullish,09 Mar 2021,20 Sep 2021
51,Bearish,20 Sep 2021,18 Oct 2021
52,Bullish,18 Oct 2021,03 Dec 2021
53,Bearish,03 Dec 2021,07 Dec 2021
54,Bullish,07 Dec 2021,18 Jan 2022
55,Bearish,18 Jan 2022,22 Mar 2022
56,Bullish,22 Mar 2022,18 Apr 2022
57,Bearish,18 Apr 2022,21 Jul 2022
58,Bullish,21 Jul 2022,31 Aug 2022
59,Bearish,31 Aug 2022,28 Oct 2022
60,Bullish,28 Oct 2022,19 Dec 2022
61,Bearish,19 Dec 2022,12 Jan 2023
62,Bullish,12 Jan 2023,27 Feb 2023
63,Bearish,27 Feb 2023,30 Mar 2023
64,Bullish,30 Mar 2023,16 Aug 2023
65,Bearish,16 Aug 2023,31 Aug 2023
66,Bullish,31 Aug 2023,20 Sep 2023
67,Bearish,20 Sep 2023,08 Nov 2023
68,Bullish,08 Nov 2023,16 Apr 2024
69,Bearish,16 Apr 2024,07 May 2024
70,Bullish,07 May 2024,01 Aug 2024
71,Bearish,01 Aug 2024,16 Aug 2024
